,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,uri,duration_ms
145,0.931,0.273,-11.723,0.176,0.00946,0.1369999999999999,0.0603,119.956,spotify:track:0FmrNFYyLLRtIS7XWJPLLk,150100
146,0.898,0.547,-5.707000000000001,0.313,0.484,0.37,0.763,200.02,spotify:track:6eL1ncVDtQHgSm3E288TS7,198133
147,0.835,0.5589999999999999,-5.617000000000001,0.0327,0.0017699999999999,0.1159999999999999,0.267,133.05200000000002,spotify:track:27H0ZfxRxOC97n72akzapS,144812
148,0.716,0.745,-6.374,0.318,0.216,0.103,0.0971,208.054,spotify:track:6jSvKhj9D9tXTgiyOHhYn8,168883
149,0.723,0.4589999999999999,-10.259,0.239,0.0009599999999999,0.11,0.313,139.972,spotify:track:3Bo3lNVQTtZYMCoItX8dKW,197143
150,0.8490000000000001,0.736,-6.6610000000000005,0.147,0.0049299999999999,0.0757,0.271,147.904,spotify:track:40zwfL4MFqa3LN5Cauu70u,173479
151,0.762,0.509,-7.354,0.0631,0.148,0.155,0.0671,120.054,spotify:track:6fMIRwUAU2Zyb2IaMGiyAg,175465
152,0.7559999999999999,0.74,-4.531000000000001,0.0563,0.00834,0.6459999999999999,0.308,123.049,spotify:track:1uDtlAvSiXgktRJjA8LpWC,171782
153,0.727,0.846,-3.555,0.1939999999999999,0.0245,0.143,0.529,131.984,spotify:track:2XT4tF5bnKqmxZi6rxN43d,145568
154,0.7829999999999999,0.497,-7.652,0.0508,0.0716,0.124,0.0381,212.026,spotify:track:177BasCdDuPYuv0E0Ujbqs,133748
155,0.841,0.5760000000000001,-7.593,0.125,0.289,0.105,0.278,192.008,spotify:track:0AANzyXvGrG0buJ8bksZyt,150205
156,0.685,0.402,-8.076,0.0734,0.208,0.402,0.107,119.917,spotify:track:2ww1CemCVpqs9sQXO9jfN2,104230
157,0.556,0.449,-10.363,0.2269999999999999,0.0807,0.446,0.484,179.968,spotify:track:4kBrbBGK0vLW1CihB20Qtq,203960
158,0.625,0.45,-9.985,0.0311,0.0776,0.1169999999999999,0.0362,185.948,spotify:track:7Cye3UbCA6UNuDykdCf3AB,206472
159,0.8,0.8240000000000001,-5.159,0.0604,0.0128,0.0527,0.462,150.023,spotify:track:35su7ZktjYPHSIUSKlr7XD,128000
160,0.7340000000000001,0.7240000000000001,-5.648,0.267,0.0133,0.248,0.256,170.05,spotify:track:4zoYSZrDb3EUPWlDi2OwAC,203294
161,0.777,0.742,-8.222999999999999,0.289,0.165,0.0957,0.605,125.0,spotify:track:44X2fcZQhyywsHTmvbS5zY,130638
162,0.733,0.66,-6.87,0.0436,0.0219,0.151,0.259,138.034,spotify:track:7yZBKFxnmoHLJFhAy2BBlo,227027
163,0.8029999999999999,0.789,-3.434,0.0383,0.0304,0.3779999999999999,0.647,119.999,spotify:track:4CHp6dRZTeFAu4bSOxfH7Y,106021
164,0.649,0.5379999999999999,-9.793,0.0918,0.0483,0.0928,0.355,160.075,spotify:track:46eK1kembooWblMi7M7yLM,150000
165,0.58,0.867,-4.031000000000001,0.165,0.0152,0.14,0.482,159.95,spotify:track:4mx0eNjjZUyOzfY3I4P9HD,128109
166,0.8009999999999999,0.679,-8.747,0.0527,0.17,0.188,0.483,130.015,spotify:track:6lt8N5nSY1EaiyeDRAIwcW,227115
167,0.677,0.655,-5.541,0.0433,0.0027,0.162,0.146,200.238,spotify:track:3PcrNUFsSYnkJJNE6roBKl,196827
168,0.623,0.716,-7.449,0.207,0.22,0.113,0.203,116.914,spotify:track:2djY65hifu2a4R2WqcXqKL,270000
169,0.797,0.542,-7.324,0.346,0.018,0.0838,0.313,155.862,spotify:track:2KSFen8RLeGFqBQ8Dfx1gU,110769
170,0.85,0.542,-6.922999999999999,0.231,0.53,0.0774,0.595,120.037,spotify:track:3f9xcqxIGsm85RFjGEG2W9,238853
171,0.743,0.411,-7.343,0.376,0.254,0.292,0.3389999999999999,119.693,spotify:track:7t2eWdGWBTAxaXxaGqq9ts,140657
172,0.8759999999999999,0.759,-1.889,0.0513,0.0224,0.475,0.271,113.996,spotify:track:1hXn4XPjJ40toZWl2bWYZu,168490
173,0.665,0.8270000000000001,-5.597,0.147,0.13,0.351,0.12,143.026,spotify:track:4DgImhJ5lY30bQdY6zVsb4,201399
174,0.81,0.585,-7.037000000000001,0.288,0.248,0.0959,0.281,139.968,spotify:track:4zIMuGSdbGTahvHB7CloVR,137107
175,0.618,0.743,-4.458,0.2339999999999999,0.0191,0.452,0.249,120.16,spotify:track:1rr9KQgLpdA8gN307EufaA,151690
176,0.622,0.8590000000000001,-1.541,0.213,0.0342,0.0797,0.296,173.99400000000003,spotify:track:0NeiQDX41fUCbSVkek4qBQ,115862
177,0.674,0.6459999999999999,-9.423,0.4,0.1169999999999999,0.104,0.222,160.028,spotify:track:2os38o5E7NoO4B2cx42h5V,123000
178,0.628,0.53,-9.663,0.0855,0.0608,0.0642,0.203,190.012,spotify:track:4rLltALU0JVawcOAA88bnQ,162000
179,0.877,0.655,-5.3,0.0769,0.00181,0.0948,0.119,127.947,spotify:track:0cITCVs87JVapD98fVnj7X,120059
180,0.585,0.895,-3.663,0.136,0.0505,0.32,0.181,119.904,spotify:track:7Cq27Qc3WRyQ3ddwVslpVZ,193567
181,0.7170000000000001,0.925,-4.246,0.311,0.244,0.287,0.412,137.989,spotify:track:3STThGLjuFSaoseZvWupmx,212245
182,0.7140000000000001,0.853,-4.9,0.304,0.205,0.1159999999999999,0.178,204.068,spotify:track:3IIArPxV2jUXk2zTKbzCVx,220656
183,0.473,0.772,-6.332000000000001,0.317,0.0212,0.3989999999999999,0.303,130.32,spotify:track:44AH8XwgrebHvQAZJbSrsV,307905
184,0.767,0.637,-7.859,0.442,0.0673,0.105,0.536,160.123,spotify:track:3whnCBcKgmEstjzv3Kxruh,136500
185,0.7190000000000001,0.7040000000000001,-5.23,0.093,0.138,0.0753,0.0808,113.007,spotify:track:0Z9sJ77J6qKd2HYv32ynUS,297273
186,0.85,0.4579999999999999,-6.622999999999999,0.206,0.00487,0.122,0.419,141.997,spotify:track:25EQ1EYpBTC26cRRoiLsTf,180454
187,0.672,0.574,-4.663,0.0993,0.0303,0.18,0.106,206.038,spotify:track:2wf9bp4MkChojtljddWpbO,246773
188,0.758,0.716,-6.621,0.346,0.607,0.0653,0.565,189.872,spotify:track:5GxLshYIBBgkrW4a9aUVn0,152999
