,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms
270,0.603,0.67,-4.809,1,0.25,0.0871,0.326,0.159,179.68400000000003,192099
271,0.743,0.5710000000000001,-6.0539999999999985,0,0.145,0.24,0.29100000000000004,0.495,119.054,213863
272,0.7909999999999999,0.735,-4.7639999999999985,0,0.16,0.0427,0.134,0.4970000000000001,144.985,211853
273,0.7809999999999999,0.597,-6.794,0,0.23,0.0415,0.152,0.544,158.043,149949
274,0.557,0.526,-9.499,0,0.32299999999999995,0.00946,0.128,0.123,159.908,325853
275,0.774,0.706,-6.494,1,0.355,0.0016300000000000002,0.104,0.382,152.891,185037
276,0.799,0.636,-8.113,0,0.0852,0.0423,0.106,0.439,126.012,129827
277,0.7120000000000001,0.778,-6.738,0,0.0408,0.00365,0.127,0.469,139.976,192692
278,0.6559999999999999,0.5720000000000001,-8.21,1,0.0627,0.0228,0.16399999999999998,0.17600000000000002,159.843,168008
279,0.904,0.575,-7.822999999999999,1,0.34600000000000003,0.0493,0.256,0.359,141.039,177748
280,0.6679999999999999,0.805,-4.964,0,0.101,0.161,0.139,0.31,150.02100000000004,166624
281,0.964,0.487,-6.0710000000000015,0,0.421,0.00127,0.115,0.107,127.05,154024
282,0.635,0.632,-8.21,0,0.275,0.000185,0.0615,0.233,162.023,250373
283,0.813,0.483,-8.044,0,0.457,0.14400000000000002,0.0991,0.398,132.954,202105
284,0.653,0.91,-3.797,1,0.319,0.114,0.111,0.818,182.204,150819
285,0.851,0.5589999999999999,-8.267000000000001,1,0.328,0.306,0.108,0.292,126.02,201146
286,0.8059999999999999,0.426,-8.093,0,0.474,0.023,0.133,0.0626,143.805,121519
287,0.71,0.715,-7.965,0,0.0817,0.251,0.289,0.449,159.95600000000005,168227
288,0.7170000000000001,0.436,-8.633,0,0.109,0.295,0.11,0.391,119.923,168493
289,0.81,0.55,-7.46,0,0.17,0.0114,0.107,0.183,153.006,214593
290,0.691,0.755,-4.229,0,0.237,0.0563,0.261,0.331,179.954,186667
291,0.578,0.721,-5.105,1,0.131,0.0103,0.329,0.662,127.115,247615
292,0.63,0.399,-9.869,0,0.17800000000000002,0.105,0.234,0.0657,183.016,214192
293,0.7559999999999999,0.746,-6.397,1,0.142,0.236,0.0999,0.0793,207.956,168883
294,0.804,0.422,-8.788,0,0.35,0.0624,0.13699999999999998,0.157,187.742,163653
295,0.89,0.607,-6.916,0,0.124,0.158,0.118,0.224,134.02200000000002,233040
296,0.7390000000000001,0.405,-10.897,1,0.0852,0.442,0.158,0.127,157.09,147987
297,0.755,0.517,-9.804,0,0.0751,0.754,0.127,0.6990000000000001,129.02700000000002,154560
298,0.754,0.575,-8.392999999999999,0,0.0682,0.045,0.276,0.491,172.018,205147
